# Newsky Schedule Export
# Airline: VVX - VOLAR VIRTUAL AIRLINES
# Date: 2026-07-16 19:22z
#
# <- use hash to add comments.
# Remember to respect headers and proper CSV formatting!
# Empty airframes column with result in ALL available
#
# Start of CSV data:
number,dep,arr,type,duration,mon,tue,wed,thu,fri,sat,sun,airframes,active
1000,SBAE,SBMO,pax,156,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1001,SBAE,SBPS,pax,103,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1002,SBAE,SBRF,pax,170,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1003,SBAR,SBCF,pax,101,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1004,SBAR,SBGL,pax,130,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1005,SBAR,SBGR,pax,157,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1006,SBAR,SBKP,pax,152,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1007,SBAR,SBSP,pax,160,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1008,SBAR,SBSV,pax,33,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1009,SBAU,SBPS,pax,107,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1010,SBAU,SBSP,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1011,SBBE,SBBR,pax,135,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1012,SBBE,SBCF,pax,166,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1013,SBBE,SBCJ,pax,55,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1014,SBBE,SBEG,pax,127,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1015,SBBE,SBFZ,pax,97,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1016,SBBE,SBGL,pax,191,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1017,SBBE,SBGR,pax,200,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1018,SBBE,SBHT,pax,49,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1019,SBBE,SBKP,pax,188,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1020,SBBE,SBMA,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1021,SBBE,SBMQ,pax,41,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1022,SBBE,SBRF,pax,133,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1023,SBBE,SBSL,pax,48,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1024,SBBE,SBSN,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1025,SBBR,SBBE,pax,135,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1026,SBBR,SBBV,pax,199,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1027,SBBR,SBCF,pax,56,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1028,SBBR,SBCG,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1029,SBBR,SBCT,pax,100,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1030,SBBR,SBCY,pax,89,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1031,SBBR,SBEG,pax,170,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1032,SBBR,SBFL,pax,115,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1033,SBBR,SBFZ,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1034,SBBR,SBGL,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1035,SBBR,SBGO,pax,25,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1036,SBBR,SBGR,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1037,SBBR,SBIZ,pax,100,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1038,SBBR,SBKG,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1039,SBBR,SBKP,pax,75,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1040,SBBR,SBMA,pax,105,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1041,SBBR,SBMO,pax,130,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1042,SBBR,SBMQ,pax,135,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1043,SBBR,SBPA,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1044,SBBR,SBPJ,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1045,SBBR,SBPS,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1046,SBBR,SBPV,pax,150,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1047,SBBR,SBRB,pax,190,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1048,SBBR,SBRF,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1049,SBBR,SBSG,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1050,SBBR,SBSI,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1051,SBBR,SBSL,pax,125,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1052,SBBR,SBSP,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1053,SBBR,SBSV,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1054,SBBR,SBTE,pax,115,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1055,SBBR,SBUL,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1056,SBBR,SBVT,pax,95,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
